,text,tag,score
0,hey witch wat cha been up too,POSITIVE,0.976111888885498
1,"i was thinking... everyone is allways saying that they want racism to end and that all racist should burn in hell or something along that nature yet has anyone stopped to think that maybe people who are racist also want racism to end, they're just acting on there idea's instead of sitting on their a**'s all day. just a thought. i thought it was kind of ironic once i stopped to think about it.its realy kind of funny when you stop to think about it yourself",NEGATIVE,0.9975676536560059
2,omg my son has the same b-day as you lol,NEGATIVE,0.9664195775985718
3,hey whats up i havent talked to you in like forever,POSITIVE,0.9443392157554626
4,hey kevin hope u are good and well miss ya dude,POSITIVE,0.9477137923240662
5,"sup greg....how u been?... how..s the family?.....say hi to everyone for m, pleeez....o yea and can u tell my dee dee dee brother to add me to his friends or to at least pimp his profile up....and tell not to use excuses....thanx ----- ----- ----- lates ese",NEGATIVE,0.9996079802513123
6,my churchland homey waht it do,POSITIVE,0.9805112481117249
7,"Hey Sis,, Great job on your profile,,Bet you cant wait to be a GGILTF,,,(laughing) Annie told me to say that.",POSITIVE,0.9985052347183228
8,"yeah, we should totally enter the nag's like that, then we should dance like this!",POSITIVE,0.9847700595855713
9,so every body knows this page is screwedd up and we cant get on to it so if you are trying to save wait until she gets another page.,NEGATIVE,0.9999798536300659
10,HEY U HAVE TWO FRIENDS!!,POSITIVE,0.9994513392448425
11,HEY SEXY MAN I WAS JUST MISSING YOU AND WANTED TO SAT HI! CAN'T WAIT TILL FRIDAY TO GET YOU DRUNK AND TAKE ADVANTAGE!!!,POSITIVE,0.5260519981384277
12,"Hey mom, How are you? We are great. I just thought that I would stop in and say HI... ----- Love ya ----- Gena",POSITIVE,0.9958836436271667
13,Ya a regret giving my old z up. I just couldnt aford four quads. Of course that oic was taken before the race series. Ater the series it looked like shit!!,NEGATIVE,0.9999934434890747
14,wazz up prima ----- Damn its been a good while that i dont see u ----- well i just want 2 let you know IM STILL HERE ----- and that i miss you and i hope 2 see you soon ----- ----- ? & RESPECT L.A.: DR3AM3ER,NEGATIVE,0.607293426990509
15,i do indeed hehe!! dnt c her as much as i used to tho cos shes with her new boyfriend aw th time :( a miss her!! lol u stil goin bout wi neil n th missus?? luv yooooooooo xoxoxoxoxox,POSITIVE,0.9961866736412048
16,ERIC........ ----- Where have you been? I have needed some cousin time!! Call me sometime soon. Not today..I know that it's Ohio State and Michigan today so maybe tomorrow.,NEGATIVE,0.996759831905365
17,"Congratulations!!! I am so happy for you and you are going to be an amazing dad!! Can you believe it, Daddy... Wow.. Please tell her mom congratulations too. ----- She is beautiful, ----- Amy",POSITIVE,0.9923807978630066
18,"Hey gurlie, Just wanted 2 stop by and say HI how have u been? ----- Lisa (d's girl)",NEGATIVE,0.504217803478241
19,"wut the hell you doin online at 3 am? O yea man isnt your bday today? Or was it a few days ago? or like a week ago. fuck it, what am I talkin about, im lost.",NEGATIVE,0.9991014003753662
20,Prayers going out to all the soldiers today. May God keep you all safe over there.,POSITIVE,0.9776431918144226
21,Sup Vinson,POSITIVE,0.9081483483314514
22,I've been going to school and working my butt off. I am glad to know that you are doing ok. Much Luv! ----- ~Swee' Pea~,POSITIVE,0.9988962411880493
23,hey hey its will from school. ----- ----- Hows? uni hope ur enjoyin it 6th forms pretty cool but can't wait to go to uni if i go!!!! ----- ----- much love,POSITIVE,0.9959676265716553
24,sorry. lol. It'll be okay,NEGATIVE,0.9956182241439819
25,HEY!!!!!!!!! Ive been trying to get ahold of you.......so what's new?!,NEGATIVE,0.5505436658859253
26,hey boo boo thanks for add me. ----- wot it the USA like?,POSITIVE,0.8120689988136292
27,HEY GIRL!!! I HAVE NOT SEEN YOU IN ALONG TIME. HOW ARE YOU AND THE BABY.COME SEE ME I LIVE IN TOWN..,POSITIVE,0.985601007938385
28,Happy Birthday Chris...now go get trashed!,NEGATIVE,0.5103040337562561
29,i'll try if i can get a sitter.I'll let u know,NEGATIVE,0.6671370267868042
30,Why thank you Hans!,POSITIVE,0.9401482343673706
