N_Item	Average_Q	N_invited	BFQ	time4	time6	time7	time8	time9	time10	time11	time12	time14	time15	time19	bid2	bid3	bid4	bid5	bid8	mkt2	mkt3	mkt4	mkt7	EFF
1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1
1	1	3	144390	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No	0.432093635
12	9.666666667	4	29387.86	Parallel	60	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.083169717
2	2.5	3	41151.8	Serial	NA	Yes	2	Yes	3	3	3	100	2	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.018939633
1	2	5	31152	Parallel	60	Yes	5	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.004879301
1	1	4	532800	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No	0.337837838
1	1	3	106000	Serial	NA	Yes	2	Yes	4	5	5	30	2	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.066037736
1	1	3	15910	Parallel	30	Yes	2	Yes	3	2	2	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.08548083
1	1	4	95145.63	Serial	NA	Yes	2	Yes	4	3	3	25	2	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.138163256
1	2	3	42000	Parallel	30	Yes	2	Yes	3	2	2	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.05952381
1	1	3	43036.98	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.39586839
1	4	3	18400	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No	0.043478261
