Auction	N_Item	Average_Q	N_invited	BFQ	time4	time6	time7	time8	time9	time10	time11	time12	time14	time15	time19	bid2	bid3	bid4	bid5	bid8	mkt2	mkt3	mkt4	mkt7
*	1	1	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Doc142699215.xls	2	780	3	383994	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc142748045.xls	1	1	4	764312.5	Parallel	10	No	NA	Yes	4	5	5	NA	NA	NA	NA	Nominal amount	No	No tie bids	No	No	Their own rank	No	No
Doc143348003.xls	1	1	3	78190	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc143556464.xls	3	1	7	17920235.3	Parallel	10	Yes	2	Yes	6	1	2	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc147771865.xls	3	1	6	234310.34	Serial	NA	Yes	2	Yes	5	3	3	20	5	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc149032137.xls	1	1	3	18000	Parallel	30	Yes	2	Yes	3	2	2	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc149033902.xls	1	1	3	22951	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc151115898.xls	1	1	5	145800	Serial	NA	Yes	2	Yes	2	2	2	25	2	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc151279079.xls	1	4000	4	48000	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc151591834.xls	1	1	4	132384	Serial	NA	Yes	2	Yes	3	3	3	25	2	NA	Do not allow prebids	Nominal amount	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc151609221.xls	6	1	11	274360.08	Staggered	NA	Yes	2	Yes	4	5	5	30	2	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc151672894.xls	2	52.5	3	19566	Parallel	30	Yes	2	Yes	3	2	2	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc153795692.xls	1	6	3	25800	Parallel	30	Yes	2	Yes	3	2	2	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc154901168.xls	1	1	3	162000	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc155285364.xls	3	1	3	73159.31	Parallel	30	Yes	2	Yes	3	2	2	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc156561344.xls	1	1	4	15985.34	Serial	NA	Yes	2	Yes	3	2	2	20	2	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc156563140.xls	1	1	3	10680	Serial	NA	Yes	2	Yes	3	2	2	30	2	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	No	No
Doc156850598.xls	2	2	3	32640	Parallel	30	Yes	2	Yes	3	2	2	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc157599795.xls	1	1	6	2032352	Parallel	30	Yes	5	Yes	3	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc157766958.xls	1	1	4	75257	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc158026610.xls	2	1	3	154400	Parallel	30	Yes	2	Yes	3	2	2	NA	NA	NA	NA	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc158521714.xls	1	3	3	29148	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc159204090.xls	1	1	7	3711532	Parallel	30	No	NA	Yes	7	4	4	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc159294347.xls	2	650	4	234000	Parallel	30	Yes	2	Yes	4	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc159478386.xls	2	3	3	53100	Parallel	30	Yes	2	Yes	3	2	2	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc159669656.xls	1	1	3	141775	Parallel	30	Yes	2	Yes	3	2	2	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc160367485.xls	1	1	4	164606.9	Parallel	30	Yes	2	Yes	4	6	6	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc160831014.xls	1	1	4	396696	Parallel	30	No	NA	Yes	4	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc160849289.xls	1	1	6	1249848	Parallel	30	No	NA	Yes	6	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc160859522.xls	1	1	4	328900	Parallel	30	Yes	2	Yes	3	7	7	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc161013832.xls	1	1	3	54500	Parallel	30	Yes	2	Yes	3	2	2	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc161774419.xls	1	1	4	172413.79	Serial	NA	Yes	2	Yes	3	2	2	30	2	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc162503863.xls	1	1	5	611592	Parallel	30	Yes	5	Yes	3	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc163813810.xls	1	1	6	146500	Parallel	30	Yes	5	Yes	3	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc163816902.xls	1	1	4	841503	Parallel	30	Yes	5	Yes	3	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc164566925.xls	1	1	5	563787	Serial	NA	Yes	2	Yes	5	2	5	30	2	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc164826766.xls	1	1	3	64373	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Nominal amount	Yes	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc165185230.xls	1	1	7	2657570.19	Parallel	30	Yes	2	Yes	6	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc165231445.xls	1	1	3	527732	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc165231486.xls	2	1	4	791750	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc165557545.xls	2	1	3	310344.82	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc166102590.xls	1	1	3	41500	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc166859428.xls	1	1	3	160194.17	Parallel	40	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc166895621.xls	1	1	5	242575	Parallel	30	Yes	5	Yes	3	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc167771420.xls	1	1	5	532380	Parallel	30	Yes	2	Yes	3	3	3	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc168052532.xls	1	1	3	58500	Parallel	30	Yes	3	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc168404958.xls	1	1	4	2966514	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc168541653.xls	1	1	4	1136432.9	Parallel	30	Yes	2	Yes	2	5	5	NA	NA	NA	Do not allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc168745607.xls	1	1	3	125635	Parallel	30	Yes	5	Yes	3	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc169144356.xls	2	1	3	137240	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	No	No
Doc169861996.xls	3	1	4	436157	Parallel	40	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc169869230.xls	1	1	4	246560.34	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc170198060.xls	2	1	4	1045805	Parallel	40	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc170392039.xls	2	1	4	12048308.1	Parallel	40	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Nominal amount	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc170678780.xls	1	1	3	114900.6	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc170889029.xls	3	2.333333333	3	24574.98	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	Yes	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc173771642.xls	1	1	6	3845125	Parallel	30	Yes	5	Yes	3	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc174080664.xls	1	1	7	3754000	Parallel	30	Yes	5	Yes	3	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc175431103.xls	6	1	4	1660620.34	Parallel	40	Yes	2	Yes	3	5	5	NA	NA	NA	Do not allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc175995015.xls	2	1	4	11620694	Parallel	30	Yes	5	Yes	3	2	2	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
Doc176171510.xls	1	1	3	17202638	Parallel	30	Yes	2	Yes	3	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	"Yes, to Buyers and Participants"	No
Doc176810188.xls	2	1	3	187456	Parallel	30	Yes	5	Yes	10	5	5	NA	NA	NA	Allow prebids	Percentage	No	No tie bids	No	No	Their own rank	No	No
